"","temp","temp.sd","temp.se","bin"
"0",0.0644919091078854,0.0360281546824288,0.0180140773412144,0
"200",0.0294530311002595,0.00476141282103172,0.00238070641051586,200
"400",0.0356927755010313,0.00681533833520544,0.00340766916760272,400
"600",0.06708249043445,0.0096925372376622,0.0048462686188311,600
"800",0.0832389477721319,0.00439701371546853,0.00219850685773427,800
"1000",0.120594151759271,0.0187114283293378,0.00935571416466892,1000
"1200",0.167885859721509,0.00689197935976403,0.00344598967988201,1200
"1400",0.142639887620284,0.0134211674968192,0.00671058374840958,1400
"1600",0.134610385557821,0.00546536613062299,0.00273268306531149,1600
"1800",0.144137639990144,0.00146977080777773,0.000734885403888866,1800
"2000",0.160158232116863,0.0121289824347203,0.00606449121736014,2000
"2200",0.201102675316625,0.0113922152227261,0.00569610761136305,2200
"2400",0.219793523465814,0.00188448704116074,0.000942243520580369,2400
"2600",0.224348085125794,0.00344036442434163,0.00172018221217081,2600
"2800",0.252289089716135,0.0135516279538529,0.00677581397692645,2800
"3000",0.288876837457348,0.00844116542106642,0.00422058271053321,3000
"3200",0.305373106229657,0.00513057068686944,0.00256528534343472,3200
"3400",0.328949195675834,0.00826908292906078,0.00413454146453039,3400
"3600",0.356813144939226,0.00988526152035793,0.00494263076017897,3600
"3800",0.368631085877231,0.00236120263691899,0.00118060131845949,3800
"4000",0.361908712929434,0.000902368896087921,0.00045118444804396,4000
"4200",0.357302842002483,0.00278367767488895,0.00139183883744448,4200
"4400",0.362020903475531,0.00630867620174064,0.00315433810087032,4400
"4600",0.38496806183483,0.00798800180244829,0.00399400090122415,4600
"4800",0.411550223964516,0.00905723482599037,0.00452861741299519,4800
"5000",0.430847200463265,0.00276381304234281,0.00138190652117141,5000
"5200",0.442424478674816,0.00509117525451381,0.0025455876272569,5200
"5400",0.450009539626444,0.00206782450718016,0.00103391225359008,5400
"5600",0.46856553538212,0.00884739323240027,0.00442369661620013,5600
"5800",0.490595025526456,0.0055657917904572,0.0027828958952286,5800
"6000",0.51555261388211,0.00962933463912632,0.00481466731956316,6000
"6200",0.532610870869682,0.00155298695902179,0.000776493479510897,6200
"6400",0.535699347019617,0.00093941756446418,0.00046970878223209,6400
"6600",0.537810141364863,0.00174222836379738,0.000871114181898692,6600
"6800",0.525041087730367,0.00502869108448025,0.00251434554224013,6800
"7000",0.512291338491464,0.00368323903757984,0.00184161951878992,7000
"7200",0.490832140285984,0.00946356567723577,0.00473178283861789,7200
"7400",0.462225496364101,0.010139498598694,0.00506974929934699,7400
"7600",0.436735013270581,0.00549365917087,0.002746829585435,7600
"7800",0.415082529416599,0.00956315817183645,0.00478157908591823,7800
"8000",0.384402533512516,0.00941037607646341,0.0047051880382317,8000
"8200",0.350736130340293,0.01100848801453,0.005504244007265,8200
"8400",0.326774124420849,0.00453309712057525,0.00226654856028763,8400
"8600",0.308884400627142,0.00748418102057075,0.00374209051028538,8600
"8800",0.292099422755634,0.00302821152580254,0.00151410576290127,8800
"9000",0.283860593765222,0.00258638091074886,0.00129319045537443,9000
"9200",0.272009444415194,0.00505833852892375,0.00252916926446187,9200
"9400",0.254219321122913,0.00682595702450111,0.00341297851225055,9400
"9600",0.225899025332425,0.0131413450817139,0.00657067254085695,9600
