"","taxa","count"
"11413","Selaginella helvetica-type",141
"11414","Selaginella kraussiana",141
"12100","Symphoricarpos",141
"12431","Tournefortia",141
"12674","Tsuga undiff.",141
"12865","Unknown (monolete, ornamented)",141
"13210","Unknown (type 47)",141
"2807","cf. Fabaceae (type 2)",140
"3405","Chenopodium sp.",140
"4820","Embelia-type",140
"5673","Fraxinus-type",140
"9339","Pinus monticola/P. albicaulis",140
"10201","Pseudopediastrum subgranulatum",140
"10990","Sabicea africana",140
"11052","Salix spp.",140
"100","Acer glabrum",139
"6083","Gilia",139
"6125","Glyceria-type",139
"6187","Griselinia",139
"8104","Mitragyna inermis-type",139
"8442","Neurospora",139
"8929","Pediastrum angulosum var. angulosum",139
"1470","Batis",138
"1522","Beta-type",138
"4349","Darwiniothamnus",138
"6842","Jasminum",138
"6905","Juniperus procera-type",138
"7241","Leucopogon",138
"8642","Operculodinium centrocarpum",138
"8814","Pandanus (Mauritius type 131, de Boer)",138
"10950","Rumex sp.",138
"11076","Salvinia natans",138
"11451","Senecio sp.",138
"1542","Betula det. shrub",137
"1762","Brachionus cf. B. urceolaris",137
"5036","Erythrococca-type",137
"7150","Lechea",137
"9715","Pollen influx",137
"12468","Trapa",137
"12717","Typha minima",137
"13628","Vitex agnus-castus",137
"1320","Athrotaxis/Diselma",136
"2233","Caspidinium rugosum subsp. rugosum",136
"3623","Cliffortia nitidula",136
"6150","Gonocarpus/Haloragis",136
"6920","Justicia flava-type",136
"7559","Lycopodium scariosum",136
"7951","Mesembryanthemoideae",136
"10372","Purshia",136
"141","Acnistus",135
"1156","Asperula-type",135
"3590","Cleistanthus-type",135
"4033","Croton sp.",135
"5867","Fungi (type 8E, HdV)",135
"6346","Helianthemum oelandicum subsp. alpestris-type",135
"12423","Torilis japonica",135
"13579","Vicia/Lathyrus-type",135
"541","Amaranthus-type",134
"3707","Colobanthus",134
"3722","Comarum-type",134
"4047","Crumpled or broken",134
"4927","Equisetaceae",134
"5883","Fungi (type II)",134
"9046","Persicaria acuminata-type",134
"9465","Plantago cf. P. turficola",134
"10461","Quercus-type",134
"10548","Ranunculus sulphureus-type",134
"12334","Thelypteris-type",134
"12449","Tracheophyta undiff. (subpáramo plants)",134
"13489","Vantanea",134
"13662","Well-preserved",134
"4954","Erica scoparia-type",133
"8589","Olea paniculata",133
"8664","Ophryosporus-type",133
"10165","Prunus/Sorbus",133
"10949","Rumex scutatus-type",133
"11219","Saxifragaceae-type",133
"11497","Seseli-type",133
"11801","Spermatophyta (non-arboreal)",133
"12548","Tricolporopollenites edmundi",133
"13361","Urtica cf. U. dioica",133
"347","Alchornea/Conceveibum",132
"2331","Celosia-type trigyna",132
"3630","Closterium",132
"3790","Conium-type",132
"6825","Ixora-type",132
"7088","Larix decidua-type",132
"7318","Linnaea borealis",132
"10849","Rubiaceae cf. Hoffmannia",132
"13330","Unknown (type U2a)",132
"657","Anemone nemorosa group",131
"1668","Bomarea",131
"3913","Correa",131
"6779","Iris pseudacorus-type",131
"7128","Laurelia",131
"7991","Microcachrys tetragona",131
"9372","Pinus subg. Strobus (small)",131
"4562","Dipsacoideae undiff.",130
"4994","Ericoideae",130
"5725","Fungi (type 12, HdV)",130
"6297","Haplophyllum",130
"9416","Pittosporum",130
"9608","Poaceae (Cerealia-type excluding Secale)",130
"10446","Quercus robur/Q. cerris",130
"12750","Ulex/Cytisus-type",130
"1000","Arecaceae (type I)",129
"2037","Calytrix",129
"6542","Huperzia selago subsp. arctica-type",129
"6896","Juniperus brevifolia",129
"8368","Myrteola",129
"8637","Opercularia",129
"13413","Vaccinioideae",129
"259","aff. Casuarina",128
"1543","Betula det. tree",128
"1645","Blepharis",128
"1755","Botryococcus sp.",128
"2709","cf. Chrysosplenium",128
"3801","Conopodium majus",128
"4811","Eleocharis-type",128
"4941","Erica cf. E. arborea/multiflora",128
"5418","Fabaceae (reticulate)",128
"6925","Justicia-type anselliana",128
"8523","Nymphaeaceae undiff.",128
"9246","Pilgerodendron-type",128
"10438","Quercus pubescens",128
"11168","Saussurea nuda",128
"11298","Scirpus",128
"11466","Senna undiff.",128
"11605","Sium latifolium-type",128
"11890","Spiniferites cruciformis (form A)",128
"12417","Tolpis-type",128
"12620","Triletes (Type 1)",128
"684","Angelica lignescens",127
"3434","Chrysobalanaceae",127
"6684","Ilex perado ssp. azorica",127
"6760","Ipomoea-type",127
"6934","Kalmia procumbens",127
"9429","Planera",127
"10517","Ranunculus cortusifolius-type",127
"11225","Scabiosa columbaria-type",127
"13369","Urtica membranacea-type",127
"1074","Arrabidaea",126
"1567","Betula sect. Apterocaryon-type",126
"2345","Celtis toka",126
"6619","Hypecoum",126
"7106","Lasiosphaeria cf. L. caudata",126
"7979","Micranthes hieraciifolia",126
"9455","Plantago canescens",126
"9473","Plantago indeterminata",126
"9718","Polyadosporites",126
"9768","Polygonum californicum-type",126
"9980","Populus-type",126
"11285","Schoenoplectus sect. Schoenoplectus-type",126
"102","Acer macrophyllum-type",125
"606","Anadenanthera",125
"3706","Collotheca sp.",125
"3891","Cornus mas-type",125
"4974","Ericaceae (type 2)",125
"5424","Fabaceae (type 2)",125
"6336","Helianthemum cf. H. canum",125
"7972","Miconia-type",125
"8650","Ophioglossaceae",125
"9114","Pherosphaera hookeriana",125
"9496","Plantago montana",125
"9963","Pontederia",125
"11377","Securinega virosa",125
"12605","Trilepisium-type (T. madagascariense)",125
"489","Alseis",124
"838","Apeiba",124
"1868","Bryopsida",124
"3159","cf. Salix herbacea",124
"4082","Culcita macrocarpa",124
"6147","Gonocalyx",124
"6765","Iriartea-type",124
"6805","Isoëtes boryana",124
"8091","Minuartia-type",124
"9457","Plantago cf. P. australis",124
"11471","Sequoiadendron",124
"11759","Spermacoce-type",124
"11886","Spiniferites belerius",124
"13185","Unknown (type 33, HdV)",124
"13215","Unknown (type 5)",124
"958","Arcella-type",123
"1728","Bosqueia",123
"3571","Clausena",123
"3693","Colchicum montanum",123
"3884","Cornus canadensis-type",123
"4724","Ebenaceae",123
"6731","Indigofera-type",123
"7670","Maerua-type",123
"9097","Phaeoceros",123
"9355","Pinus resinosa",123
"9404","Pistacia atlantica",123
"9461","Plantago cf. P. major",123
"9577","Poaceae (<20 µm)",123
"2005","Calocedrus",122
"5489","Fagaceae undiff.",122
"6110","Glochidion",122
"7887","Meliaceae/Bruniaceae",122
"7898","Meliola ellisii (type 14, HdV)",122
"10563","Raphia",122
"10925","Rumex conglomeratus-type",122
"12969","unknown (trilete, psilate, <50 µm)",122
"132","Achyranthes-type",121
"288","Agavoideae",121
"805","Anthriscus-type",121
"5860","Fungi (type 8, UAB)",121
"7252","Licania",121
"7743","Malva sylvestris-type",121
"8410","Nemopanthus mucronatus",121
"9477","Plantago lanceolata/P. lagopus",121
"9504","Plantago rigida (scabrate)",121
"9505","Plantago rigida (verrucate)",121
"9739","Polygala-type",121
"13034","Unknown (type 13)",121
"13421","Vaccinium myrtillus",121
"441","Alnus acuminata",120
"1060","Armeria-type",120
"1359","Austrocedrus chilensis-type",120
"1937","Byttneria",120
"2844","cf. Glyceria",120
"4322","Dalea candida",120
"7405","Lonchocarpus",120
"7877","Melastomataceae (≥19 µm)",120
"8049","Mimosa undiff.",120
"10856","Rubiaceae-type",120
"10908","Rumex alpinus-type",120
"11758","Spermacoce undiff.",120
"12297","Teucrium-type",120
"13686","Woodsia-type",120
"242","Aeschynomene",119
"1772","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)",119
"2317","Celastraceae undiff.",119
"2462","Ceratiola ericoides",119
"3791","Connaraceae",119
"6964","Knautia-type",119
"8991","Pellaea-type",119
"9211","Picconia azorica",119
"9247","Piliostigma",119
"10745","Riccia lamellosa-type",119
"11014","Sagittaria sagittifolia",119
"11988","Stemodia",119
"12139","Syringa",119
"12813","Unknown (cf. spore, type P)",119
"12882","Unknown (monolete, smooth)",119
"85","Acanthus-type",118
"161","Acrostichum aureum",118
"4780","Elaeagnaceae",118
"6101","Gleditsia",118
"7035","Laguncularia racemosa",118
"7453","Lotus cf. L. corniculatus",118
"8086","Minuartia recurva",118
"8231","Muehlenbeckia-type",118
"11157","Sarracenia",118
"11897","Spiniferites ramosus",118
"13484","Vangueria",118
"336","Alchornea (type 1)",117
"1332","Atraphaxis",117
"1621","Bistorta vivipara-type",117
"2313","Ceiba",117
"3879","Cornulaca/Aerva",117
"5306","Euglypha",117
"5942","Gardenia",117
"10986","Sabal",117
"11933","Spondias-type",117
"12005","Sterculia-type",117
"12979","Unknown (trilete, sculptured)",117
"13546","Viburnum edule",117
"13706","Xylariaceae",117
"13791","δ13C",117
"755","Anthericum-type",116
"898","Apodytes",116
"1194","Assulina sp.",116
"1366","Avena/Triticum group",116
"1978","Calcium carbonate",116
"2346","Celtis undiff.",116
"3739","Combretum-type molle",116
"4140","Cyanobacteria",116
"4576","Discaria",116
"7397","Lomatia/Gevuina",116
"7934","Mercurialis annua-type",116
"8912","Pausinystalia-type macroceras",116
"9119","Phillyrea angustifolia",116
"9500","Plantago ovata-type",116
"10669","Rhizophora mangle",116
"11056","Salix vestita-type",116
"11192","Saxifraga granulata",116
"12934","Unknown (spores)",116
"13280","Unknown (type 9)",116
"13558","Viburnum undiff.",116
"1154","Asparagus-type",115
"1328","Athyrium-type",115
"2421","Centropogon",115
"3393","Chelidonium majus",115
"3454","Chrysosplenium-type",115
"3897","Cornus sanguinea-type",115
"3934","Corylus americana",115
"4153","Cyathea (psilate)",115
"4815","Elymus",115
"7276","Lilium",115
"7279","Lilium martagon-type",115
"8277","Myrianthus-type holstii",115
"9443","Plantago africana-type",115
"9655","Poaceae pro parte",115
"12508","Trichocladus",115
"12564","Trientalis europaea",115
"12598","Triglochin/Sparganium",115
"241","Aerva-type lanata",114
"444","Alnus cf. A. suaveolens",114
"1251","Asteroideae (low spine)",114
"1473","Bauera rubioides",114
"1605","Bischofia",114
"2473","Ceratophyllum demersum",114
"4663","Drosera intermedia",114
"6138","Godoya",114
"8282","Myrica sp.",114
"9153","Phragmites australis-type",114
"10002","Potamogeton eupotamogeton",114
"10507","Ranunculus arvensis-type",114
"11246","Scenedesmus quadricauda",114
"11847","Spermatophyta undiff. (deciduous trees)",114
"12260","Tetracera alnifolia",114
"13467","Valeriana-type",114
"510","Alternanthera-type",113
"968","Arctium",113
"971","Arctium-type",113
"1394","Baccharis/Taraxacum-type",113
"4759","Echium vulgare",113
"4822","Embothrium",113
"6588","Hygrophila",113
"6686","Ilex-type",113
"8607","Olpidiaceae",113
"9649","Poaceae (type I)",113
"10660","Rhexia-type",113
"11743","Spergula/Spergularia",113
"12523","Trichomanes speciosum",113
"254","Aethusa cynapium",112
"445","Alnus cf. A. viridis",112
"1073","Arnoseris minima",112
"1711","Borassus/Hyphaene",112
"3247","cf. Taxus",112
"5916","Galiniera",112
"8987","Pellaea",112
"10678","Rhizopoda",112
"11480","Serjania",112
"11564","Silene viscaria-type",112
"11615","Sloanea-type",112
"13235","Unknown (type 6)",112
"2185","Carthamus-type",111
"3351","Chamaecrista-type",111
"3541","Cistus salviifolius",111
"4026","Crotalaria-type",111
"6988","Kotschya-type",111
"7664","Macrolobium-type",111
"7925","Menyanthaceae",111
"8340","Myrsinoideae undiff.",111
"9693","Podospora-type (type 368, HdV)",111
"10956","Rumex subg. Rumex-type",111
"10979","Rutaceae undiff.",111
"13354","Urgineeae",111
"396","Alibertia",110
"1089","Artemisia cf. A. norvegica",110
"3347","Chaetomium undiff.",110
"3906","Cornus undiff.",110
"4373","Decodon verticillatus",110
"4973","Ericaceae (type 1)",110
"5247","Eudicotyledoneae (tricolporate, reticulate)",110
"5459","Fabales (type I)",110
"7325","Linum catharticum",110
"7624","Lythrum portula-type",110
"8157","Monoletes (verrucate)",110
"8266","Myrcia",110
"9305","Pinus canariensis",110
"10412","Quercus cf. Q. rotundifolia",110
"10785","Rosaceae (>20 µm)",110
"10988","Sabiaceae",110
"11956","Stachytarpheta",110
"12573","Trifolium badium-type",110
"455","Alnus rhombifolia-type",109
"1131","Ascomycota",109
"1268","Astragalus alpinus",109
"2436","Cephalanthus occidentalis",109
"3265","cf. Trichocladium opacum (type 10, HdV)",109
"3569","Clasterosporium caricinum",109
"4305","Dacrycarpus dacrydioides",109
"7547","Lycopodium fastigiatum",109
"8012","Microthyrium undiff.",109
"8084","Minuartia",109
"8504","Nuxia/Dobera",109
"8841","Papuacedrus",109
"9964","Pontederiaceae",109
"10012","Potamogeton undiff.",109
"10409","Quercus cf. Q. canariensis",109
"10673","Rhizophora stylosa",109
"12212","Tasmannia lanceolata",109
"13759","Zizania",109
"966","Archerella flavum (type 31A, HdV)",108
"2437","Cephalaria",108
"3624","Cliffortia nitidula-type",108
"3758","Commiphora africana-type",108
"4320","Dalbergia-type",108
"5648","Fraxinus angustifolia subsp. oxycarpa-type",108
"6489","Homalium",108
"6548","Huperzia suberecta",108
"6632","Hypericum foliosum-type",108
"8070","mimosoid clade (type II)",108
"8539","Ochnaceae",108
"8705","Ornithopus",108
"9220","Picea det. P. mariana",108
"10354","Puccinia",108
"11099","Sanguisorba canadensis",108
"11228","Scabiosa-type",108
"11688","Sorbus aucuparia-type",108
"12719","Typha sp.",108
"1638","Blechnum cf. B. tabulare",107
"3552","Citrus",107
"3559","Cladium undiff.",107
"3926","Corydalis",107
"6453","Hippocastanoideae",107
"6603","Hymenodictyon-type floribundum",107
"9650","Poaceae (type II)",107
"10346","Pteropyrum-type",107
"10775","Rorippa amphibia",107
"10824","Rubia",107
"10854","Rubiaceae pro parte",107
"11309","Scleranthus-type",107
"12084","Swertia perennis",107
"442","Alnus cf. A. glutinosa",106
"3680","Coelastrum polychordum",106
"4167","Cyathea cf. C. delgadoi",106
"4426","Dianthus superbus-type",106
"5273","Eudicotyledoneae (tricolporate, type 1, Helmens & Kuhry 1986)",106
"5547","Ficalhoa",106
"6134","Gnidia-type",106
"7197","Lepilaena",106
"7514","Lycopodiella alopecuroides",106
"7881","Melastomataceae-type",106
"8804","Paliurus",106
"9585","Poaceae (<47 µm)",106
"12189","Tapirira-type",106
"12359","Thymus/Mentha-type",106
"12892","Unknown (monolete, verrucate, <50 µm)",106
"483","Alonella excisa",105
"1531","Betula (large)",105
"2487","Cercocarpus/Purshia",105
"3178","cf. Saxifraga stellaris-type",105
"3478","Cichorium-type",105
"4161","Cyathea (type I)",105
"4204","Cycadaceae-type",105
"4717","Duroia",105
"4953","Erica scoparia",105
"5384","Excoecaria",105
"5683","Fuchsia",105
"7222","Leptospermum undiff.",105
"7486","Lychnis-type",105
"7490","Lycium",105
"9974","Populus tremula-type",105
"10574","Reseda",105
"10580","Resedaceae",105
"11111","Sanicula",105
"11520","Sida crystallina",105
"1019","Arecaceae-type (Mauritius type 54c, de Boer)",104
"1198","Astelia alpina",104
"4093","Cupania (type 1)",104
"4775","Ekebergia",104
"5439","Fabaceae cf. Parkinsonia",104
"5761","Fungi (type 24, HdV)",104
"5850","Fungi (type 64, HdV)",104
"5953","Gaultheria",104
"5977","Genipa",104
"7016","Laetia aff. L. coriacea",104
"7454","Lotus corniculatus",104
"8753","Other preservation classes",104
"9106","Phebalium",104
"10549","Ranunculus trichophyllus",104
"10825","Rubia-type",104
"13580","Vigna",104
"1508","Berlinia-type",103
"3508","Cissampelos",103
"4293","Cystopteris-type",103
"5427","Fabaceae (type III)",103
"6956","Kiggelaria africana",103
"8031","Mimosa (type I)",103
"8109","Mitragyna-type (M. inermis)",103
"9055","Persicaria hydropiper-type",103
"9573","Pluricellaesporites",103
"10011","Potamogeton thunbergii-type",103
"10402","Quercus (rough)",103
"10403","Quercus (smooth)",103
"10948","Rumex scutatus",103
"12347","Thuja plicata-type",103
"12708","Typha domingensis",103
"12925","Unknown (reniform)",103
"13723","Zanha golungensis-type",103
"201","Adesmia-type",102
"3587","Claytosmunda claytoniana",102
"9174","Phyllanthus rivae-type",102
"9361","Pinus sibirica-type",102
"9550","Pleospora undiff.",102
"10449","Quercus sp.",102
"11011","Sagina-type",102
"11381","Sedimentation rate",102
"12842","Unknown (hexagonal mesh)",102
"13454","Valeriana excelsa subsp. sambucifolia-type",102
"1113","Arthropoda",101
"1318","Atherosperma moschatum",101
"1713","Boronia",101
"2087","Cannabis sativa-type",101
"2808","cf. Fabaceae (type 3)",101
"3358","Chamaedaphne calyculata",101
"3527","Cistus albidus-type",101
"3728","Combretaceae/Melastomataceae-type",101
"4812","Elodea",101
"5386","Exocarpos",101
"5470","Faboideae (type 1)",101
"6361","Helicosporium/Helicoön pluriseptatum (type 30, HdV)",101
"6595","Hymenocardia acida-type",101
"7579","Lycopus/Mentha",101
"8511","Nymphaea candida",101
"9795","Polygonum sp.",101
"9947","Polysphaeridium zoharyi",101
"10025","Potentilla erecta",101
"10675","Rhizophoraceae",101
"11696","Sordaria undiff.",101
"12166","Talipariti tiliaceum",101
"975","Arctostaphylos uva-ursi",100
"1547","Betula glandulosa-type",100
"1631","Blechnaceae",100
"1917","Butia",100
"2342","Celtis occidentalis",100
"3170","cf. Sapium",100
"3451","Chrysosplenium oppositifolium",100
"4700","Dryopteris fragrans",100
"4806","Elatine",100
"7695","Magnoliatae indeterminata",100
"7990","Microcachrys",100
"8301","Myriophyllum alterniflorum-type",100
"9407","Pistacia terebinthus",100
"10625","Rhamnaceae cf. Colubrina glandulosa",100
"11885","Spiniferites",100
"12125","Symplocos canescens",100
"12446","Tracheophyta undiff.",100
"12606","Trilepisium-type madagascariense",100
"13517","Verbenaceae undiff.",100
"179","Adelobotrys",99
"790","Anthostema",99
"961","Arceuthobium azoricum",99
"1748","Botryococcaceae",99
"1863","Bryophyta sensu lato",99
"2845","cf. Gnaphalium",99
"3314","cf. Vitis",99
"3831","Copepoda (type 28, HdV)",99
"5657","Fraxinus latifolia",99
"5829","Fungi (type 564, Kuhry 1988)",99
"7849","Mecardonia-type",99
"8032","Mimosa (type II)",99
"8567","Oenothera",99
"8770","Oxygonum",99
"8834","Papaver-type",99
"9386","Pinus-type",99
"10909","Rumex aquaticus",99
"11708","Sorindeia-type (S. juglandifolia)",99
"12253","Testate amoebae",99
"12609","Trilete spores/Sphagnum",99
"12846","Unknown (inaperturate)",99
"12890","Unknown (monolete, type A)",99
"13073","Unknown (type 16)",99
"244","Aeschynomene baumii-type",98
"387","Algae? (type 229, HdV)",98
"1204","Aster/Achillea-type",98
"1335","Atriplex",98
"1905","Bursaria",98
"3505","Cirsium/Gundelia-type",98
"4169","Cyathea comp.",98
"4261","Cyperaceae (type 1)",98
"8018","Milicia-type excelsa",98
"9159","Phylica",98
"9561","Pleuroxus trigonellus",98
"10069","Primula hirsuta-type",98
"12494","Trichilia",98
"12779","Undetermined diatom",98
"1259","Asteroideae (type I)",97
"1745","Botrychium undiff.",97
"2500","Cerinthe",97
"4046","Crudia-type gabonensis",97
"4118","Cupressus-type",97
"4693","Dryopteris cristata",97
"4903","Ephedra torreyana",97
"5007","Eriogonum-type",97
"5044","Erythroxylum (type 2)",97
"5574","Filipendula vulgaris-type",97
"9414","Pittosporaceae",97
"10018","Potamogetonaceae undiff.",97
"10361","Pulmonaria-type",97
"10426","Quercus garryana",97
"10565","Raphia-type",97
"12300","Thalictrum aquilegiifolium",97
"12962","Unknown (trilete, echinate)",97
"600","Anacardiaceae cf. Spondias",96
"1168","Asphodelus-type",96
"2912","cf. Larix",96
"4129","Cuscuta europaea-type",96
"5377","Euterpe/Geonoma",96
"5528","Faramea",96
"5564","Filinia",96
"6142","Gomphrena-type",96
"6599","Hymenodictyon",96
"6774","Iridaceae/Amaryllidaceae",96
"7634","Mabea-type",96
"7719","Malouetia",96
"9000","Penium",96
"10148","Prunus cf. P. padus",96
"11873","Sphagnum undiff.",96
"11884","Spinacia-type",96
"12506","Trichocladium opacum (type 10, HdV)",96
"12540","Tricolpopollenites henrici",96
"12608","Trilete fern-spore spike",96
"12650","Triumfetta-type",96
"2031","Calyptrocarya",95
"4270","Cyperus (type 1)",95
"4959","Erica umbellata-type",95
"5926","Galium palustre",95
"6345","Helianthemum oelandicum subsp. alpestris",95
"6502","Hordeum/Triticum",95
"9385","Pinus wallichiana",95
"9474","Plantago lagopus-type",95
"10447","Quercus rubra",95
"10672","Rhizophora sp.",95
"11858","Spermatophyta undiff. (unknown)",95
"488","Alphitonia",94
"2259","Castanopsis comp.",94
"2802","cf. Euphorbiaceae",94
"3125","cf. Rhizophora",94
"4331","Dampiera",94
"5501","Fagopyrum-type",94
"6482","Holodiscus-type",94
"7012","Lactucoideae undiff.",94
"8345","Myrtaceae (type 1)",94
"8394","Nauclea",94
"9122","Phillyrea-type",94
"12223","Tecoma",94
"12784","Unknown (aquatic)",94
"12793","Unknown (black chips)",94
"13061","Unknown (type 150, HdV)",94
"13184","Unknown (type 32)",94
"13595","Viola palustris-type",94
"13737","Zanthoxylum usambarense-type",94
"630","Andromeda",93
"1126","Asclepiadeae",93
"1798","Breynia",93
"1858","Bryophyta (type 340, HdV)",93
"2140","Cardiospermum",93
"3564","Cladocera undiff.",93
"3676","Codonocarpus",93
"4654","Drimys lanceolata",93
"5557","Ficus carica",93
"5949","Garrya",93
"9022","Peperomia",93
"9291","Pinus (degraded)",93
"9380","Pinus sylvestris/P. mugo",93
"11403","Selaginella cf. S. marginata",93
"13127","Unknown (type 201)",93
"413","Allenrolfea occidentalis",92
"562","Ammi",92
"634","Andropogon",92
"1362","Avena",92
"3521","Cistaceae undiff.",92
"3871","Coriaria myrtifolia",92
"5405","Fabaceae (psilate, type 1)",92
"5420","Fabaceae (shrubs)",92
"6229","Gymnoschoenus",92
"6294","Handroanthus",92
"6330","Heleopera",92
"6417","Heteromorpha",92
"6713","Indeterminable (destroyed)",92
"6770","Iridaceae (type I)",92
"6970","Koenigia",92
"9185","Phyllanthus-type (P. rivae)",92
"10133","Prunella",92
"10973","Ruta",92
"15","Abies sp.",91
"48","Acacia/Parkia",91
"3119","cf. Rhamnaceae",91
"3554","Cladium cf. C. mariscus",91
"4453","Dicksonia-type",91
"6171","Grammitis-type",91
"6906","Juniperus sabina",91
"10530","Ranunculus lingua-type",91
"10764","Rivularia-type",91
"11479","Seriphium kilimandscharicum-type",91
"12131","Symplocos tenuifolia-type",91
"12235","Tephrosia",91
"194","Adenostoma",90
"257","Aextoxicon punctatum",90
"317","Aizoaceae undiff.",90
"479","Alona rustica (type 72, HdV)",90
"861","Apiaceae (type 2)",90
"1015","Arecaceae-type (Mauritius type 137, de Boer)",90
"1639","Blechnum comp.",90
"1912","Burseraceae",90
"4557","Diporotheca webbiae",90
"5545","Festuca",90
"5821","Fungi (type 53, HdV)",90
"6347","Helianthemum oelandicum-type",90
"6412","Herniaria glabra-type",90
"6428","Hexarthra mira",90
"6830","Jacaranda (type 2)",90
"7543","Lycopodium clavatum/Diphasiastrum complanatum",90
"7975","Micranthes cf. M. stellaris",90
"8196","Morella salicifolia",90
"9296","Pinus (small)",90
"11068","Salvadora-type persica",90
"11432","Selaginella wallacei-type",90
"11625","Socratea-type",90
"11872","Sphagnum sp.",90
"12698","Typha (tetrad) undiff.",90
"1306","Astropanax mannii-type",89
"2297","Ceanothus-type",89
"4201","Cyathula-type orthacantha",89
"4296","Cytisus",89
"7444","Loranthus",89
"7845","Maytenus disticha-type",89
"7852","Medicago",89
"7989","Micrhystridium (type 115, HdV)",89
"8220","Mougeotia sp.",89
"8468","Nothofagus antarctica-type",89
"9405","Pistacia lentiscus",89
"10420","Quercus comp.",89
"11025","Salicaceae undiff.",89
"11069","Salvadoraceae",89
"11074","Salvia-type",89
"12758","Ulmus americana",89
"12989","Unknown (triporate, scabrate)",89
"13378","Urticaceae (type 1)",89
"13551","Viburnum nudum",89
"13709","Xylocarpus",89
"350","Aldina",88
"1354","Austroblechnum penna-marina",88
"1436","Banara/Xylosma-type",88
"1518","Berula erecta-type",88
"1821","Bromeliaceae undiff.",88
"4607","Dodonaea viscosa var. angustifolia",88
"5252","Eudicotyledoneae (tricolporate, scabrate, Mauritius type 28, de Boer)",88
"5569","Filipendula cf. F. ulmaria",88
"5968","Gelasinospora cf. G. retispora (type 2, HdV)",88
"6912","Jurinea-type",88
"7576","Lycopus",88
"7638","Macaranga comp.",88
"7717","Mallotus-type (M. oppositifolius)",88
"8036","Mimosa aff. M. pudica",88
"10472","Radiola",88
"11062","Salsola kali",88
"13549","Viburnum lentago",88
"13642","Vochysia",88
"435","Alnus (hexaporate)",87
"1754","Botryococcus pila",87
"1865","Bryophyta/Marchantiophyta",87
"2104","Capparaceae undiff.",87
"2177","Carpinus orientalis-type",87
"2232","Caspidinium rugosum",87
"2409","Centaurium pulchellum-type",87
"3828","Copaifera-type",87
"4245","Cyperaceae (<50 µm)",87
"4306","Dacrycarpus imbricatus",87
"4313","Dacryodes-type",87
"4363","Davallia comp.",87
"4838","Encephalartos",87
"6037","Geoglossum sphagnophilum",87
"8355","Myrtaceae (type 55)",87
"8683","Oribatida (type 36, HdV)",87
"8950","Pediastrum longicorne",87
"11875","Sphagnum/Typha",87
"11962","Staurastrum",87
"12875","Unknown (monolete, psilate, type 2)",87
"604","Anacardium-type",86
"1321","Athyriaceae",86
"1420","Balanops",86
"1512","Bersama abyssinica",86
"4309","Dacrydium franklinii",86
"4315","Dactylobiotus",86
"6196","Guatteria",86
"6325","Hedysarum hedysaroides",86
"8292","Myricaria",86
"8512","Nymphaea cf. N. candida",86
"8668","Oplopanax horridus",86
"8766","Oxalis acetosella",86
"9120","Phillyrea angustifolia-type",86
"9683","Podocarpus spp.",86
"11463","Senna obtusifolia",86
"12208","Tarenna-type",86
"13060","Unknown (type 15)",86
"137","Aciphylla",85
"227","Aegiphila",85
"459","Alnus sp.",85
"792","Anthostema-type",85
"813","Anthyllis",85
"2124","Carabidae (type 107, HdV)",85
"2368","Centaurea collina",85
"4847","Englerophytum",85
"5546","Festuca-type",85
"5599","Flueggea-type virosa",85
"7373","Lobelia dortmanna",85
"7811","Martretia",85
"7899","Meliola niessleana",85
"8066","mimosoid clade (type I, small)",85
"8450","Nigella",85
"9036","Periploca",85
"9929","Polypodium comp.",85
"9954","Polytrichum",85
"11673","Sonneratia",85
"12128","Symplocos lanceolata-type",85
"12221","Teclea",85
"13045","Unknown (type 14)",85
"61","Acalypha (triporate)",84
"69","Acalypha undiff.",84
"565","Ammi-type",84
"906","Apuleia",84
"1323","Athyrium alpestre",84
"1760","Bowdichia",84
"2179","Carpinus undiff.",84
"2499","Cerebropollenites",84
"5870","Fungi (type 92, HdV)",84
"5984","Genista/Ulex",84
"6124","Glyceria maxima",84
"6366","Heliocarpus",84
"6908","Juniperus-type procera",84
"8067","mimosoid clade (type I)",84
"8073","mimosoid clade undiff.",84
"8219","Mougeotia laetevirens",84
"8516","Nymphaea sp.",84
"8700","Ormosia",84
"8906","Paullinia pinnata",84
"9528","Platyhelminthes (type 353A, HdV)",84
"10004","Potamogeton natans",84
"11498","Sesuvium",84
"12202","Tarchonanthus camphoratus",84
"13181","Unknown (type 304, HdV)",84
"411","Alismataceae undiff.",83
"1001","Arecaceae (type II)",83
"1685","Bombax",83
"3511","Cissampelos mucronata-type",83
"3514","Cissampelos-type mucronata",83
"3950","Cosmarium",83
"4686","Dryopteris carthusiana",83
"4843","Engelhardia cf. E. spicata",83
"5193","Eudicotyledoneae (tricolporate, microreticulate, type I)",83
"6317","Hedyosmum brasiliense",83
"7367","Littorella-type",83
"8016","Mikania",83
"8039","Mimosa cf. M. pudica",83
"8078","Mimusops",83
"9628","Poaceae (large)",83
"10897","Rumex acetosa group",83
"11277","Schizolobium sp.",83
"11760","Spermacoce-type radiata",83
"12336","Thesium",83
"12387","Tilioideae undiff.",83
"12649","Triumfetta",83
"13654","Warszewiczia",83
"548","Ambrosia maritima",82
"1242","Asterales",82
"3537","Cistus monspeliensis-type",82
