"","taxa","count"
"8311","Myriophyllum spicatum",6075
"12370","Tilia cordata",6058
"7620","Lythrum",6017
"10637","Rhamnus",6014
"4915","Epilobium",6006
"2253","Castanea sativa",5992
"5316","Euphorbia",5971
"1574","Betula undiff.",5968
"10896","Rumex acetosa",5936
"12715","Typha latifolia-type",5925
"8342","Myrtaceae",5922
"13414","Vaccinium",5858
"12725","Typhaceae",5850
"12217","Taxus baccata",5836
"703","Angiospermae undiff. (herbs)",5825
"1550","Betula nana",5783
"5445","Fabaceae undiff.",5750
"6465","Hippophaë rhamnoides",5716
"11078","Sambucus",5671
"12329","Thelypteris palustris",5630
"12672","Tsuga heterophylla",5618
"10427","Quercus ilex",5528
"6540","Huperzia selago",5507
"2021","Caltha-type",5493
"8150","Monoletes",5460
"8300","Myriophyllum alterniflorum",5443
"5665","Fraxinus pennsylvanica-type",5424
"6726","Indeterminable (unknown)",5418
"11217","Saxifragaceae",5372
"6316","Hedyosmum",5370
"10013","Potamogeton-type",5355
"12722","Typha/Sparganium",5351
"8739","Ostrya",5338
"5662","Fraxinus ornus",5323
"4993","Ericales undiff.",5268
"9492","Plantago media",5074
"2370","Centaurea cyanus",5045
"10039","Poterium sanguisorba",5042
"10287","Pteridium-type",5021
"9763","Polygonum aviculare-type",5017
"13382","Urticaceae/Moraceae",5003
"5670","Fraxinus undiff.",4889
"11370","Secale cereale",4889
"12702","Typha angustifolia/Sparganium",4835
"7168","Lemna",4827
"13341","Unknown undiff.",4815
"9825","Polypodiales (monolete)",4767
"9516","Plantago undiff.",4761
"4560","Dipsacoideae",4712
"10958","Rumex undiff.",4693
"4699","Dryopteris filix-mas-type",4646
"8520","Nymphaeaceae",4556
"3501","Cirsium-type",4539
"7926","Menyanthes",4510
"4936","Erica",4479
"9937","Polypodium vulgare",4400
"6223","Gymnocarpium dryopteris",4374
"1923","Buxus",4339
"11940","Sporormiella",4331
"6047","Geranium",4303
"6519","Humulus",4298
"2044","Campanula",4277
